
Type_of_property,Price,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,postal code
house,€319000,1,Not specified,Not specified,0,0,0,188,0,2,0,Just renovated,0,0,0,0,2,Installed,Gas,2840
house,€85000,2,F,447,No,0,0,110,39,2,1900,0,0,1,0,0,0,Installed,Fuel oil,3
house,€295000,4,F,474,0,0,35,630,12,2,0,To be done up,0,1,0,0,1,Semi equipped,Fuel oil,1370
house,€369000,2,C,269,0,0,75,659,30,4,0,Just renovated,0,1,0,0,1,0,Gas,8900
house,€220000,2,B,146,0,Yes,0,80,0,0,0,Good,0,1,0,0,2,0,Gas,8970
house,€239000,3,F,839,0,0,0,235,0,3,0,Good,0,1,0,0,2,0,0,8902
house,€369000,3,A,15,0,Yes,0,256,0,3,0,Good,0,1,0,0,2,0,Gas,8793
house,€425000,5,B,121,No,0,0,341,33,3,2015,Good,0,1,0,0,0,0,Gas,2560
house,€350000,6,C,281,No,0,0,376,0,2,0,0,0,1,0,Yes,0,0,Gas,9870
house,€,3,C,243,0,Yes,0,197,0,0,0,Good,0,1,0,0,0,0,Gas,1800
house,€305000,3,Not specified,475,0,0,0,931,0,3,1970,To be done up,0,1,0,0,0,Installed,Gas,02280
house,€375000,4,D,340,0,0,25,2560,40,4,1971,Just renovated,0,2,0,0,3,Hyper equipped,Fuel oil,1370
house,€595000,5,A,84,0,Yes,0,345,0,0,0,Just renovated,0,2,0,0,0,0,Gas,1910
house,€595000,3,A,84,No,0,40,612,43,4,2016,As new,0,2,0,Yes,3,Hyper equipped,Gas,8800
house,€481000,3,Not specified,Not specified,0,0,12,526,36,2,2023,0,0,1,0,0,2,Installed,0,2220
house,€575000,3,B,114,No,Yes,0,732,0,4,2018,Good,0,1,0,Yes,0,0,Gas,3930
house,€249000,3,F,747,No,0,0,577,0,2,1899,To renovate,0,1,0,0,0,0,Gas,3090
house,€465000,3,C,248,0,0,0,0,0,2,0,Good,0,1,0,0,2,Semi equipped,Gas,9700
house,€399000,3,Not specified,Not specified,0,0,0,323,0,0,0,0,0,2,0,0,0,0,0,20
